ㄔㄞ chāi ⠃⠺⠄ t9 chai1 bw'
ㄔㄠ chāo ⠃⠩⠄ tl chao1 b%'
ㄔㄡ chōu ⠃⠷⠄ t. chou1 b('
ㄔㄢ chān ⠃⠧⠄ t0 chan1 bv'
ㄔㄣ chēn ⠃⠥⠄ tp chen1 bu'
ㄔㄤ chāng ⠃⠭⠄ t; chang1 bx'
ㄔㄥ chēng ⠃⠵⠄ t/ cheng1 bz'
ㄔㄨ chū ⠃⠌⠄ tj chu1 b/'
ㄔㄨㄚ chuā ⠃⠔⠄ tj8 chua1 b9'
ㄔㄨㄛ chuō ⠃⠒⠄ tji chuo1 b3'
ㄔㄨㄞ chuāi ⠃⠶⠄ tj9 chuai1 b7'
ㄔㄨㄟ chuī ⠃⠫⠄ tjo chui1 b$'
ㄔㄨㄢ chuān ⠃⠻⠄ tj0 chuan1 b]'
ㄔㄨㄣ chūn ⠃⠿⠄ tjp chun1 b='
ㄔㄨㄤ chuāng ⠃⠸⠄ tj; chuang1 b_'
ㄔㄨㄥ chōng ⠃⠯⠄ tj/ chong1 b&'
ㄕ shī ⠊⠱⠄ g shi1 i:'
ㄕㄚ shā ⠊⠜⠄ g8 sha1 i>'
ㄕㄜ shē ⠊⠮⠄ gk she1 i!'
ㄕㄞ shāi ⠊⠺⠄ g9 shai1 iw'
ㄕㄟ shēi ⠊⠴⠄ go shei1 i0'
ㄕㄠ shāo ⠊⠩⠄ gl shao1 i%'
ㄕㄡ shōu ⠊⠷⠄ g. shou1 i('
ㄕㄢ shān ⠊⠧⠄ g0 shan1 iv'
ㄕㄣ shēn ⠊⠥⠄ gp shen1 iu'
ㄕㄤ shāng ⠊⠭⠄ g; shang1 ix'
ㄕㄥ shēng ⠊⠵⠄ g/ sheng1 iz'
ㄕㄨ shū ⠊⠌⠄ gj shu1 i/'
ㄕㄨㄚ shuā ⠊⠔⠄ gj8 shua1 i9'
ㄕㄨㄛ shuō ⠊⠒⠄ gji shuo1 i3'
ㄕㄨㄞ shuāi ⠊⠶⠄ gj9 shuai1 i7'
ㄕㄨㄟ shuī ⠊⠫⠄ gjo shui1 i$'
ㄕㄨㄢ shuān ⠊⠻⠄ gj0 shuan1 i]'
ㄕㄨㄣ shūn ⠊⠿⠄ gjp shun1 i='
ㄕㄨㄤ shuāng ⠊⠸⠄ gj; shuang1 i_'
ㄕㄨㄥ shōng ⠊⠯⠄ gj/ shong1 i&'
ㄖ rī ⠛⠱⠄ b ri1 g:'
ㄖㄜ rē ⠛⠮⠄ bk re1 g!'
ㄖㄠ rāo ⠛⠩⠄ bl rao1 g%'
ㄖㄡ rōu ⠛⠷⠄ b. rou1 g('
ㄖㄢ rān ⠛⠧⠄ b0 ran1 gv'
ㄖㄣ rēn ⠛⠥⠄ bp ren1 gu'
ㄖㄤ rāng ⠛⠭⠄ b; rang1 gx'
ㄖㄥ rēng ⠛⠵⠄ b/ reng1 gz'
ㄖㄨ rū ⠛⠌⠄ bj ru1 g/'
ㄖㄨㄛ ruō ⠛⠒⠄ bji ruo1 g3'
ㄖㄨㄟ ruī ⠛⠫⠄ bjo rui1 g$'
ㄖㄨㄢ ruān ⠛⠻⠄ bj0 ruan1 g]'
ㄖㄨㄣ rūn ⠛⠿⠄ bjp run1 g='
ㄖㄨㄥ rōng ⠛⠯⠄ bj/ rong1 g&'
ㄗ zī ⠓⠱⠄ y zi1 h:'
ㄗㄚ zā ⠓⠜⠄ y8 za1 h>'
ㄗㄜ zē ⠓⠮⠄ yk ze1 h!'
